AvgMonthVisits,AvgVisitDuration,BounceRate,Change,DesktopMobileShare,Domain,Favicon,HasAdsense,PagesPerVisit,Rank,Share,UniqueUsers
11769.0068978,439.883490234,0.449212169612,1.96437286812,"[0.345486317259, 0.654513682741]",jeffawards.org,https://site-images.similarcdn.com/image?url=jeffawards.org&t=2&s=0&h=9b83ad5e1bf6739816e93959fea6bbaac9e03f50fe2312f6df02a0e5353845c0,False,2.70415850921,2483799,0.000992362933072,3222.41629159
11117.1514777,46.2362081892,0.807873097275,-0.567843107848,"[0.434086283429, 0.565913716571]",awardsandshows.com,https://site-images.similarcdn.com/image?url=awardsandshows.com&t=2&s=0&h=b468927bce63daa14cb7506464ad2b94ca34e6527d190ca7467c8890815a02ea,True,1.75157470309,2780947,0.000937398469013,4298.21214141
9922.30848532,44.6622592984,0.679046598496,-0.0851311317032,"[0.402633989688, 0.597366010312]",doveawards.com,https://site-images.similarcdn.com/image?url=doveawards.com&t=2&s=0&h=9146dd5c4e92a9fcd49b158d8607640bad2a1e09d5e3c4b1d4844e499f980c25,False,2.09593547948,2796752,0.000836649280339,3847.8346959
9570.11460363,101.887337063,0.655694453888,-0.854251965196,"[0.145773684056, 0.854226315944]",zimachievers.com,https://site-images.similarcdn.com/image?url=zimachievers.com&t=2&s=0&h=786d1cadd07ce816565a65c60df5178edd90d0a1a45ff6df6c7a93bd729f8c3b,True,1.5375378739,3380683,0.000806952284112,3212.84136059
9267.91688348,76.8298394044,0.487328771731,0.40491971253,"[0.329043841366, 0.670956158634]",worldmusicawards.com,https://site-images.similarcdn.com/image?url=worldmusicawards.com&t=2&s=0&h=74ccba2703776b106e0afcf2be787cb7218f729830b76385dcef5f6141052c75,False,1.94488593134,3067997,0.000781470965379,3173.96504525
7775.77559744,111.853326766,0.470300493617,3.01521277859,"[0.577790396905, 0.422209603095]",leoawards.com,https://site-images.similarcdn.com/image?url=leoawards.com&t=2&s=0&h=e86fb50d877988e1d4cf4ba2862c9e4e86bcc5470fcf103ebf9235e0a71de03d,False,2.22970668384,3154129,0.000655653577723,3411.44674979
6722.69985909,226.934916577,0.391420247699,0.73297291759,"[0.646867397097, 0.353132602903]",goldenmelodyawards.com,https://site-images.similarcdn.com/image?url=goldenmelodyawards.com&t=2&s=0&h=fa8836b146f43cf1ad455b9efafd8595be26634271cac86dbf1c089071351329,False,3.23047021269,3356620,0.000566858207177,1604.54878041
5857.49957493,149.346884544,0.595887348693,-0.419769301403,"[0.234642360847, 0.765357639153]",sakuraaward.com,https://site-images.similarcdn.com/image?url=sakuraaward.com&t=2&s=0&h=303cc60a5f167e6102ebba42eeb9e85a2037bc7223e8280fc191ac74e6d56bf1,False,4.0769173646,3275558,0.00049390449926,2566.87299913
5719.8378215,112.286099325,0.480787079167,1.36609507713,"[0.322737159532, 0.677262840468]",ivycorrea.tumblr.com,https://site-images.similarcdn.com/image?url=ivycorrea.tumblr.com&t=2&s=0&h=d855cbe3385a7987357b1319169158def1b39766cf65e96a362d1aa60d047f4f,False,3.00729637468,3746977,0.000482296857037,1811.28502614
5497.98312326,289.428186119,0.461263303596,-0.462742483476,"[0.899426083762, 0.100573916238]",lovieawards.eu,https://site-images.similarcdn.com/image?url=lovieawards.eu&t=2&s=0&h=dc4cc4bd600663751b9029238b74b361a2b1bd09752b5099cfc41ec9a1a0a165,False,4.46645100726,2949003,0.000463590063763,2491.34046627
3926.37244405,0.0,1.0,2.48622752571,"[0.0444337740404, 0.95556622596]",oscartrivia.com,https://site-images.similarcdn.com/image?url=oscartrivia.com&t=2&s=0&h=cb559ae7c83e21b9c48933297fd209dabd4896d0b7010b84adac68d24572397b,False,1.33740448321,7599632,0.000331071815044,896.214101035
3554.6340383,0.0,1.0,,"[0.0225994438533, 0.977400556147]",divaawards.com.au,https://site-images.similarcdn.com/image?url=divaawards.com.au&t=2&s=0&h=6a1434ae0015f5c03e99a728a15bdc5240cdea076d974228efdfb08a07bc3ace,False,1.0,45,0.000299726824097,865.545465649
3490.29872293,254.172447481,0.397318050038,-0.428481202533,"[0.925223151488, 0.0747768485124]",sovas.org,https://site-images.similarcdn.com/image?url=sovas.org&t=2&s=0&h=4da9f80857111d27f87efab0de33cdd4e9d36b522d17e4beac31399266670a4f,False,3.6111573966,4411774,0.000294302068821,1353.77168233
